Bill Number,Bill URL,Summary,Action,Action URL,Date,State
AB232,https://legiscan.com/CA/bill/AB232/2025,"An act to amend Section 17072 of, and to add Sections 17141.8 and 17207.15 to, the Revenue and Taxation Code, relating to natural disasters, to take effect immediately, tax levy.",To Assembly Revenue and Taxation Committee,https://legiscan.com/CA/pending/assembly-revenue-taxation-committee/id/469,2025-04-11,CA
AB52,https://legiscan.com/CA/bill/AB52/2025,"An act to amend Section 815.3 of the Civil Code, to amend Sections 65040.2, 65092, 65351, 65352, 65352.3, 65560, and 65562.5 of, and to repeal and add Section 65352.4 of, the Government Code, and to amend Sections 5097.9, 5097.94, 5097.95, 5097.98, 2...",To Assembly Natural Resources Committee,https://legiscan.com/CA/pending/assembly-natural-resources-committee/id/466,2025-04-11,CA
AB1383,https://legiscan.com/CA/bill/AB1383/2025,"An act to amend Sections 7522.10, 7522.25, and 7522.30 of, and to add Sections 7522.19 and 7522.26 to, the Government Code, relating to public employeesâ€™ retirement, and making an appropriation therefor.",To Assembly Public Employment and Retirement Committee,https://legiscan.com/CA/pending/assembly-public-employment-retirement-committee/id/3914,2025-04-11,CA
AB512,https://legiscan.com/CA/bill/AB512/2025,"An act to amend Section 1367.01 of the Health and Safety Code, and to amend Section 10123.135 of the Insurance Code, relating to health care coverage.",To Assembly Health Committee,https://legiscan.com/CA/pending/assembly-health-committee/id/457,2025-04-11,CA
AB1300,https://legiscan.com/CA/bill/AB1300/2025,"An act to add Chapter 17.26 (commencing with Section 7284.3) to Division 7 of Title 1 of the Government Code, relating to privacy.",To Assembly Judiciary Committee,https://legiscan.com/CA/pending/assembly-judiciary-committee/id/463,2025-04-11,CA
AB1226,https://legiscan.com/CA/bill/AB1226/2025,"An act to amend Section 41853 of the Health and Safety Code, relating to air pollution.",To Assembly Natural Resources Committee,https://legiscan.com/CA/pending/assembly-natural-resources-committee/id/466,2025-04-11,CA
AB828,https://legiscan.com/CA/bill/AB828/2025,"An act to add Section 23826.21 to the Business and Professions Code, relating to alcoholic beverages.",To Assembly Governmental Organization Committee,https://legiscan.com/CA/pending/assembly-governmental-organization-committee/id/456,2025-04-11,CA
AB1227,https://legiscan.com/CA/bill/AB1227/2025,"An act to add Section 21080.06 to the Public Resources Code, relating to environmental quality.",To Assembly Natural Resources Committee,https://legiscan.com/CA/pending/assembly-natural-resources-committee/id/466,2025-04-11,CA
AB1404,https://legiscan.com/CA/bill/AB1404/2025,"An act to add Section 783.3 to the Public Utilities Code, relating to electricity.",To Assembly Utilities and Energy Committee,https://legiscan.com/CA/pending/assembly-utilities-energy-committee/id/3620,2025-04-11,CA
AB839,https://legiscan.com/CA/bill/AB839/2025,"An act to amend Sections 21189.81, 21189.82, and 21189.83 of the Public Resources Code, relating to environmental quality.",To Assembly Natural Resources Committee,https://legiscan.com/CA/pending/assembly-natural-resources-committee/id/466,2025-04-11,CA
